,manually_assigned_tag,url,content
0,supermarket,https://www.walmart.com.ar,"['nueva', 'nueva', 'correctamente', 'puede', 'cerrar', 'lacteos', 'lacteos', 'desayuno', 'desayuno', 'frescos', 'cocina', 'cocina', 'cuidado', 'cambio', 'video', 'electro', 'electro', 'libreria', 'libreria', 'destacados', 'destacados', 'lacteos', 'lacteos', 'lacteos', 'entera', 'entera', 'entera', 'entera', 'entera', 'entera', 'lacteos', 'entera', 'entera', 'desayuno', 'precio', 'sociedad', 'clasica', 'desayuno', 'ecuador', 'lomitos', 'lomitos', 'lomitos', 'lomitos', 'lomitos', 'clasicas', 'clasicas', 'clasicas', 'clasicas', 'clasicas', 'restauracion', 'restauracion', 'restauracion', 'restauracion', 'restauracion', 'pantene', 'precio', 'higienicas', 'higienicas', 'higienicas', 'precio', 'repuesto', 'limpiadores', 'limpiadores', 'cocina', 'precio', 'cocina', 'precio', 'destilerias', 'cambio', 'pequenos', 'precio', 'desayuno', 'precio', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'desayuno', 'cacao', 'cacao', 'precio', 'especial', 'especial', 'desayuno', 'precio', 'sacie', 'desayuno', 'precio', 'precio', 'comac', 'precio', 'cepas', 'precio', 'glaciar', 'glaciar', 'glaciar', 'glaciar', 'glaciar', 'glaciar', 'glaciar', 'desayuno', 'precio', 'postres', 'desayuno', 'libreria', 'libreria', 'libreria', 'repuesto', 'repuesto', 'repuesto', 'repuesto', 'repuesto', 'repuestos', 'escolares', 'libreria', 'cuadernos', 'repuestos', 'repuestos', 'escolares', 'repuestos', 'escolares', 'libreria', 'cuaderno', 'escolar', 'cuaderno', 'escolar', 'cuaderno', 'escolar', 'cuaderno', 'escolar', 'cuaderno', 'escolar', 'cuadernos', 'escolares', 'libreria', 'cuadernos', 'repuestos', 'cuadernos', 'escolares', 'cuadernos', 'escolares', 'libreria', 'precio', 'repuesto', 'repuesto', 'repuesto', 'repuesto', 'repuestos', 'escolares', 'libreria', 'cuadernos', 'repuestos', 'repuestos', 'escolares', 'repuestos', 'escolares', 'libreria', 'cuadriculado', 'repuesto', 'cuadriculado', 'cuadriculado', 'repuesto', 'cuadriculado', 'cuadriculado', 'repuestos', 'escolares', 'libreria', 'cuadernos', 'repuestos', 'repuestos', 'escolares', 'repuestos', 'escolares', 'libreria', 'libreria', 'cuadernos', 'repuestos', 'libre', 'libre', 'libre', 'libre', 'libre', 'libres', 'libres', 'libres', 'carro', 'estampada', 'carro', 'estampada', 'carro', 'estampada', 'carro', 'estampada', 'carro', 'estampada', 'libreria', 'estrada', 'estrada', 'cuaderno', 'estrada', 'cuaderno', 'estrada', 'cuaderno', 'estrada', 'cuaderno', 'cuaderno', 'estrada', 'cuadernos', 'escolares', 'libreria', 'cuadernos', 'repuestos', 'cuadernos', 'escolares', 'cuadernos', 'escolares', 'libreria', 'cuaderno', 'escolar', 'cuaderno', 'escolar', 'cuaderno', 'escolar', 'cuaderno', 'escolar', 'cuaderno', 'escolar', 'cuadernos', 'escolares', 'libreria', 'cuadernos', 'repuestos', 'cuadernos', 'escolares', 'cuadernos', 'escolares', 'escolar', 'escolar', 'escolar', 'escolar', 'escolar', 'escolares', 'escolares', 'escolares', 'libreria', 'cuadriculado', 'repuesto', 'cuadriculado', 'cuadriculado', 'repuesto', 'cuadriculado', 'cuadriculado', 'repuestos', 'escolares', 'libreria', 'cuadernos', 'repuestos', 'repuestos', 'escolares', 'repuestos', 'escolares', 'libreria', 'precio', 'libreria', 'libreria', 'lapiceras', 'libreria', 'lapiceras', 'lapiceras', 'libreria', 'resaltadores', 'libreria', 'resaltadores', 'resaltadores', 'libre', 'libre', 'libre', 'libre', 'libre', 'libres', 'libres', 'libres', 'libreria', 'resaltadores', 'libreria', 'resaltadores', 'resaltadores', 'libreria', 'lapiceras', 'libreria', 'lapiceras', 'lapiceras', 'libreria', 'corrector', 'corrector', 'corrector', 'corrector', 'corrector', 'lapiceras', 'libreria', 'lapiceras', 'lapiceras', 'precio', 'especial', 'precios', 'especial', 'precios', 'precio', 'especial', 'especial', 'doble', 'doble', 'doble', 'doble', 'doble', 'doble', 'doble', 'doble', 'precio', 'especial', 'especial', 'precio', 'cocinero', 'especial', 'especial', 'clasico', 'clasico', 'clasico', 'clasico', 'clasico', 'precio', 'cocinero', 'especial', 'especial', 'precio', 'especial', 'especial', 'cocinero', 'precio', 'cocinero', 'especial', 'especial', 'precio', 'especial', 'especial', 'pascualina', 'pascualina', 'pascualina', 'pascualina', 'pascualina', 'congelados', 'especial', 'especial', 'ensalada', 'ensalada', 'ensalada', 'ensalada', 'ensalada', 'congelados', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'precio', 'especial', 'especial', 'doble', 'doble', 'doble', 'doble', 'doble', 'doble', 'doble', 'doble', 'precio', 'especial', 'especial', 'arroz', 'precio', 'especial', 'especial', 'cocinero', 'precio', 'especial', 'especial', 'precio', 'cocinero', 'especial', 'especial', 'cocinero', 'cocinero', 'congelados', 'especial', 'especial', 'espinaca', 'espinaca', 'espinaca', 'espinaca', 'espinaca', 'congelados', 'congelados', 'especial', 'especial', 'congelados', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'precio', 'especial', 'especial', 'precio', 'especial', 'especial', 'especial', 'especial', 'especial', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'desayuno', 'precio', 'especial', 'especial', 'arroz', 'desayuno', 'precio', 'cocinero', 'especial', 'especial', 'cocinero', 'precio', 'especial', 'especial', 'congelados', 'especial', 'especial', 'espinaca', 'espinaca', 'espinaca', 'espinaca', 'espinaca', 'acacfcc', 'congelados', 'congelados', 'especial', 'especial', 'congelados', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'congelados', 'especial', 'especial', 'congelados', 'precio', 'especial', 'especial', 'cocinero', 'especial', 'especial', 'desayuno', 'precio', 'establecimiento', 'especial', 'especial', 'serranas', 'serranas', 'serranas', 'compuesta', 'serranas', 'serranas', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'precio', 'establecimiento', 'especial', 'especial', 'compuesta', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'precio', 'establecimiento', 'especial', 'especial', 'compuesta', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'precio', 'establecimiento', 'especial', 'especial', 'compuesta', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'especial', 'especial', 'compuesta', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'precio', 'establecimiento', 'especial', 'especial', 'compuesta', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'precio', 'establecimiento', 'especial', 'especial', 'compuesta', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'precio', 'establecimiento', 'especial', 'especial', 'compuesta', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'precio', 'establecimiento', 'especial', 'especial', 'compuesta', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'desayuno', 'especial', 'especial', 'serranas', 'serranas', 'serranas', 'compuesta', 'serranas', 'serranas', 'compuesta', 'desayuno', 'compuesta', 'compuesta', 'especial', 'precios', 'especial', 'precios', 'fideos', 'libre', 'fideos', 'libre', 'fideos', 'libre', 'fideos', 'libre', 'fideos', 'libre', 'fideos', 'celiacos', 'fideos', 'celiacos', 'fideos', 'celiacos', 'especial', 'especial', 'fideos', 'libre', 'fideos', 'libre', 'fideos', 'libre', 'fideos', 'libre', 'fideos', 'libre', 'fideos', 'celiacos', 'fideos', 'celiacos', 'fideos', 'celiacos', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'desayuno', 'precio', 'especial', 'especial', 'secas', 'desayuno', 'secas', 'secas', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'desayuno', 'precio', 'especial', 'especial', 'desayuno', 'especialdesayuno', 'especial', 'especial', 'desayuno', 'desayuno', 'desayuno', 'electro', 'precio', 'electric', 'exprimidores', 'jugueras', 'pequeno', 'electro', 'exprimidores', 'jugueras', 'exprimidores', 'jugueras', 'electro', 'inoxidable', 'pequeno', 'electro', 'desayuno', 'precio', 'sociedad', 'clasica', 'desayuno', 'desayuno', 'precio', 'oblea', 'oblea', 'oblea', 'oblea', 'oblea', 'desayuno', 'desayuno', 'precio', 'desayuno', 'desayuno', 'precio', 'surtido', 'surtido', 'surtido', 'surtido', 'surtido', 'desayuno', 'panificados', 'precio', 'panificados', 'panificados', 'precio', 'clasicas', 'clasicas', 'clasicas', 'clasicas', 'clasicas', 'panificados', 'desayuno', 'precio', 'canuelas', 'desayuno', 'desayuno', 'precio', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'desayuno', 'cacao', 'cacao', 'desayuno', 'precio', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'desayuno', 'cacao', 'cacao', 'desayuno', 'precio', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'desayuno', 'cacao', 'cacao', 'desayuno', 'precio', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'desayuno', 'cacao', 'cacao', 'desayuno', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'cacao', 'desayuno', 'cacao', 'cacao', 'desayuno', 'multiplicador', 'precio', 'capsulas', 'desayuno', 'capsulas', 'capsulas', 'desayuno', 'multiplicador', 'precio', 'desayuno', 'desayuno', 'multiplicador', 'precio', 'capsulas', 'desayuno', 'capsulas', 'capsulas', 'desayuno', 'multiplicador', 'precio', 'capsulas', 'desayuno', 'capsulas', 'capsulas', 'desayuno', 'multiplicador', 'precio', 'capsulas', 'desayuno', 'capsulas', 'desayuno', 'multiplicador', 'precio', 'capsulas', 'desayuno', 'capsulas', 'capsulas', 'desayuno', 'multiplicador', 'precio', 'capsulas', 'capsulas', 'capsulas', 'desayuno', 'capsulas', 'desayuno', 'precio', 'clasico', 'desayuno', 'desayuno', 'precio', 'desayuno', 'desayuno', 'clasico', 'clasico', 'clasico', 'clasico', 'clasico', 'desayuno', 'desayuno', 'precio', 'sacie', 'desayuno', 'desayuno', 'precio', 'sacie', 'ciruela', 'ciruela', 'ciruela', 'ciruela', 'ciruela', 'desayuno', 'desayuno', 'precio', 'sacie', 'desayuno', 'desayuno', 'precio', 'desayuno', 'desayuno', 'precio', 'desayuno', 'congelados', 'helados', 'helados', 'descarga', 'encontrala', 'congelados', 'congelados', 'recibilos', 'puerta', 'congelados', 'seleccionar', 'seleccionada', 'desea', 'cambiar', 'selecciona', 'bienvenido', 'precios', 'pueden']"
1,supermarket,https://www.makro.com.ar,"['entra', 'cuenta', 'quiero', 'fornecedor', 'sobre', 'quienes', 'sustentabilidad', 'sustentabilidad', 'trabaj', 'computrabajo', 'conducta', 'codigoconductaetica', 'beneficios', 'medios', 'medios', 'almacenes', 'autoservicios', 'local', 'hacer', 'quiero', 'sobre', 'quienes', 'sustentabilidad', 'computrabajo', 'conducta', 'beneficios', 'medios', 'almacenes', 'autoservicios', 'perros', 'blancaflor', 'recibir', 'nuestras', 'conoce', 'libre', 'financiacion', 'productos', 'electro', 'cercana', 'listado', 'mercadolibre', 'precios', 'conocer', 'precios', 'encontrar', 'cercana', 'descargala', 'otros', 'servicios', 'descubri', 'estaciones', 'encontr', 'descarg', 'supermercados', 'contactanos', 'contacto', 'frecuentes', 'frecuentes', 'registracion', 'recib', 'supermercados', 'buenos', 'supermercados', 'contactanos', 'frecuentes', 'recib', 'supermercados', 'buenos']"
2,supermarket,https://www.alvearsupermercados.com.ar/,"['alvearsupermercados', 'blanco', 'alvearsupermercados', 'blanco', 'alvearsupermercados', 'alvearsupermercados', 'cuenta', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'frecuentes', 'alvearsupermercados', 'frecuentes', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'contacto', 'alvearsupermercados', 'contacto', 'alvearsupermercados', 'recibi', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'informacion', 'alvearsupermercados', 'alvearsupermercados', 'medios', 'descuentos', 'alvearsupermercados', 'medios', 'productos', 'destacados', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'medios', 'alvearsupermercados', 'medios', 'medios', 'local', 'alvearsupermercados', 'local', 'local', 'sustentabilidad', 'alvearsupermercados', 'sustentabilidad', 'alvearsupermercados', 'supermercados', 'alvearsupermercados', 'quieras', 'escanea', 'somosdelbarrio', 'quieras', 'escanea', 'somosdelbarrio', 'nuevo', 'productos', 'encontra', 'descuentazos', 'somosdelbarrio', 'nuevo', 'productos', 'encontra', 'descuentazos', 'somosdelbarrio', 'descuentos', 'somosdelbarrio', 'descuentos', 'somosdelbarrio', 'alvearsupermercados', 'nuevo', 'alvearsupermercados', 'nuevo', 'alvearsupermercados', 'alvearsupermercados', 'informaci', 'supermercados', 'alvearsupermercados', 'alvearsupermercados', 'sugerencias', 'reclamos', 'alvearsupermercados', 'sugerencias', 'reclamos', 'sociales', 'supermercados', 'supermercados', 'desarrollo', 'alvearsupermercados', 'cuenta', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'alvearsupermercados', 'contacto', 'alvearsupermercados', 'contacto', 'alvearsupermercados', 'nombre', 'electronico', 'recuerdame', 'alvearsupermercados']"
3,supermarket,https://www.yaguar.com.ar/,"['supermercado', 'blanca', 'chaco', 'cordoba', 'cordoba', 'contacto', 'contacto', 'descarga', 'precios', 'nueva', 'fraccionado', 'fideos', 'serranas', 'social', 'promociones', 'blanca', 'blanca', 'chaco', 'cordoba', 'cordoba', 'cordoba', 'cargando', 'cercana', 'contactanos', 'contacto', 'contacto', 'conoce', 'estofado', 'cocinaconsanremo', 'estofado', 'cocinaconsanremo', 'casera', 'cocinaconsanremo', 'casera', 'gracias', 'encuestas', 'recibi', 'tigrecampanajose', 'fecordobasaltamisionesgeneral', 'blancamendozachacosan', 'juanmorenocasa', 'chaco', 'cordoba', 'cordoba', 'contacto', 'contacto', 'social', 'frecuentes', 'requisitos', 'supermercados', 'pueden', 'encuestas', 'logos', 'servicios', 'supermercados', 'supermercados', 'supermercado']"
4,supermarket,https://www.libertadsa.com.ar/,"['separador', 'cordoba', 'separador', 'separador', 'separador', 'clublibertad', 'libertad', 'desarrollo', 'desarrollo', 'nuestras', 'distribucion', 'casino', 'contacto', 'contactolbt', 'videoslibertad', 'clublibertad', 'logos', 'libertad', 'libertad', 'libertad', 'libertad', 'cordoba', 'beneficios', 'feriadosargentina', 'libertad', 'casino', 'nuestros']"
5,supermarket,http://www.coto.com.ar/,"['descuentos', 'descuentos', 'logos', 'radiosdeentrega', 'escribinos', 'contacto', 'radiosdeentrega', 'escribinos', 'contacto', 'precioscuidados', 'argentina', 'precios', 'beneficios', 'quieras', 'nuestras', 'radiosdeentrega', 'locales', 'espacios', 'comerciales', 'locales', 'espacios', 'localesycentroscomerciales', 'juegos', 'empleos', 'empleos', 'locales', 'espacios', 'comerciales', 'locales', 'localesycentroscomerciales', 'video', 'descuentos', 'descuentos', 'descuentos', 'medios', 'descuentos', 'logos', 'logos', 'logos', 'canales', 'comunicaci', 'nuestras', 'productos', 'ciudad', 'productos', 'escudo', 'carnes', 'campa', 'bienpublico', 'extracash', 'nuevo', 'cotoempleo', 'descuentos', 'descuentos', 'logos', 'radiosdeentrega', 'escribinos', 'contacto', 'promociones', 'descuentos', 'locales', 'espacios', 'localesycentroscomerciales', 'descuentos', 'descuentos', 'logos', 'radiosdeentrega', 'locales', 'espacios', 'comerciales', 'localesycentroscomerciales', 'escribinos', 'contacto', 'promociones', 'descuentos', 'precios', 'precioscuidados', 'nacional', 'ciudad', 'buenos', 'cuotas', 'desde', 'cuotas', 'financiero', 'otros', 'financiaci', 'ciudad', 'cuotas', 'cuotas', 'banco', 'ciudad', 'desde', 'productos', 'seleccionados', 'electro', 'blanco', 'unicamente', 'banco', 'ciudad', 'otros', 'descuentos', 'promocionadas', 'incluido', 'financiero', 'quedan', 'descuentos', 'lidos', 'cuotas', 'exterior', 'promociones', 'publicaci', 'otros', 'descuentos', 'promociones', 'desde', 'descuento', 'cualquiera', 'supermercados', 'descuento', 'correspondiente', 'sobre', 'precio', 'productos', 'descuento', 'exterior', 'juegos', 'estacionamiento', 'cuotas', 'electrodom', 'productos', 'leoncio', 'castel', 'carnes', 'menudencias', 'entero', 'fresco', 'entero', 'congelado', 'presentaciones', 'presentaciones', 'presentaciones', 'presentaciones', 'productos', 'precios', 'excluyen', 'presentaciones', 'siguientes', 'productos', 'encuentran', 'descuentos', 'promociones', 'descuentos', 'promociones', 'publicaci', 'otros', 'descuentos', 'promociones', 'descuentos', 'lidos', 'corriente', 'beneficios', 'lidos', 'solicitados', 'productos', 'cualquier', 'descuentos', 'descuento', 'electrodomesticos', 'productos', 'descuentos', 'promociones', 'lidos', 'juegos', 'estacionamiento', 'cuotas', 'electrodom', 'productos', 'leoncio', 'carnes', 'menudencias', 'entero', 'fresco', 'entero', 'congelado', 'presentaciones', 'presentaciones', 'presentaciones', 'presentaciones', 'productos', 'precios', 'excluyen', 'presentaciones', 'siguientes', 'productos', 'encuentran', 'descuentos', 'promociones', 'descuentos', 'promociones', 'publicaci', 'otros', 'descuentos', 'promociones', 'cuotas', 'publicadas', 'financiero', 'efectivo', 'cargos', 'cuenta', 'amortizaci', 'cuotas', 'publicadas', 'financiero', 'efectivo', 'cargos', 'cuenta', 'mantenimiento', 'amortizaci', 'cuotas', 'publicadas', 'financiero', 'efectivo', 'cargos', 'cuenta', 'amortizaci', 'cuotas', 'publicadas', 'financiero', 'cargos', 'cuenta', 'amortizaci', 'publicadas', 'financiero', 'efectivo', 'cargos', 'cuenta', 'amortizaci', 'descuentos']"
6,telephone,https://www.personal.com.ar/,"['micuenta', 'destinos', 'cuenta', 'micuenta', 'cuenta', 'cuotas', 'financiacion', 'promociones', 'financiacion', 'financiacion', 'socalo', 'conviene', 'conoce', 'combocuadrupleplay', 'socalo', 'conoce', 'socalo', 'liberados', 'socalo', 'cuotas', 'cuotas', 'promociones', 'financiacion', 'financiacion', 'financiacion', 'accesos', 'micuenta', 'cambiar', 'cambia', 'cambia', 'micuenta', 'destinos', 'liberado', 'cambia', 'cambia', 'micuenta', 'facturacion', 'micuenta', 'recarga', 'micuenta', 'recargas', 'descarga', 'descarga', 'servicio', 'facturacion', 'precio', 'llamanos', 'escuchamos', 'llamanos', 'escuchamos', 'frecuentes', 'encontra', 'respuestas', 'esperamos', 'centrosdeatencion', 'promociones', 'cambiar', 'equipo', 'equipos', 'beneficios', 'cablevision', 'conoce', 'beneficios', 'descuento', 'conoce', 'beneficios', 'beneficios', 'beneficios', 'beneficios', 'conoce', 'beneficios', 'entretenimiento', 'entretenimiento', 'mencionados', 'comienzan', 'luego', 'conoce', 'beneficios', 'conoce', 'beneficios', 'conexion', 'conexion', 'llamanos', 'llamanos', 'quiero', 'nueva', 'nueva']"
7,telephone,https://www.movistar.com.ar/,"['cancelar', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'servicios', 'adicionales', 'productos', 'servicios', 'aplicaciones', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'nuevo', 'productos', 'servicios', 'productos', 'servicios', 'promociones', 'recargas', 'productos', 'servicios', 'servicios', 'equipos', 'cambio', 'productos', 'servicios', 'cerrar', 'bifurcador', 'bifurcador', 'cancelar', 'productos', 'servicios', 'equipos', 'productos', 'servicios', 'productos', 'servicios', 'servicios', 'productos', 'servicios', 'aplicaciones', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'nuevo', 'productos', 'servicios', 'productos', 'servicios', 'promociones', 'recargas', 'productos', 'servicios', 'servicios', 'cambio', 'productos', 'servicios', 'conoce', 'quedes', 'cuotas', 'promociones', 'descuento', 'febrero', 'febrero', 'descuentos', 'promociones', 'quieras', 'conoce', 'conoce', 'beneficios', 'conoce', 'beneficios', 'equipos', 'destacados', 'equipos', 'gracias', 'hacer', 'productos', 'servicios', 'recarga', 'servicio', 'seguimiento', 'reclamos', 'tecnicos', 'reclamo', 'seguimiento', 'medidor', 'conexion', 'medidor', 'productos', 'servicios', 'productos', 'servicios', 'servicios', 'adicionales', 'productos', 'servicios', 'aplicaciones', 'productos', 'servicios', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'productos', 'servicios', 'promociones', 'recargas', 'recargas', 'facturacion', 'facturacion', 'servicio', 'hipoacusicos', 'productos', 'servicios', 'correspondencia', 'beneficios', 'nacional', 'comunicaciones', 'enacom', 'locale', 'servicios', 'servicios']"
8,telephone,https://www.tuenti.com.ar,"['contenido', 'porque', 'esperas', 'quiero', 'quiero', 'quiero', 'quiero', 'nuevo', 'quiero', 'nuestros', 'recarga', 'recarga', 'medios', 'medios', 'recargar', 'debito', 'debito', 'frecuentes', 'estado', 'estado', 'conoce', 'beneficios', 'esperas', 'entrar', 'nuevo', 'nuevo', 'puede', 'nuevo', 'quieras', 'tambien', 'nuevo', 'entra', 'nueva', 'recarga', 'quieras', 'puedo', 'recargar', 'entra', 'entra', 'puedo', 'hacer', 'hablar', 'experiencia', 'adecuado', 'funciona', 'fuera', 'pueden', 'puntos', 'hacen', 'conviene', 'recargo', 'recargaba', 'doble', 'consejo', 'puedo', 'hacer', 'nuevos', 'descargala', 'descarga', 'superpoder']"
9,telephone,https://www.claro.com.ar,"['personas', 'claro', 'video', 'clarovideo', 'claro', 'claro', 'denuncias', 'denuncias', 'claro', 'claro', 'claro', 'colombia', 'claro', 'colombia', 'claro', 'ecuador', 'claro', 'ecuador', 'claro', 'estados', 'unidos', 'estados', 'unidos', 'claro', 'claro', 'nicaragua', 'claro', 'nicaragua', 'claro', 'claro', 'claro', 'puerto', 'puerto', 'claro', 'claro', 'selecciona', 'ubicacion', 'deseas', 'ubicacion', 'detectada', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'recargas', 'personas', 'servicios', 'servicios', 'recargas', 'personas', 'servicios', 'servicios', 'internacional', 'personas', 'servicios', 'servicios', 'personas', 'servicios', 'servicios', 'financiacion', 'personas', 'servicios', 'servicios', 'financiacion', 'otros', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'personas', 'servicios', 'servicios', 'claro', 'servicios', 'claro', 'beneficios', 'servicios', 'claro', 'beneficios', 'entretenimiento', 'claro', 'servicios', 'entretenimiento', 'claro', 'claro', 'video', 'personas', 'servicios', 'entretenimiento', 'claro', 'video', 'posible', 'claro', 'claro', 'claro', 'claro', 'miclaro', 'claro', 'claro', 'claro', 'claro', 'llamamos', 'servicios', 'servicios', 'descuento', 'nuevo', 'contenido', 'claro', 'descuento', 'nuevo', 'contenido', 'claro', 'descuentos', 'claro', 'descuentos', 'promociones', 'descuento', 'claro', 'contenido', 'claro', 'descuento', 'descuento', 'claro', 'contenido', 'claro', 'descuento', 'entra', 'claro', 'claro', 'contenido', 'claro', 'claro', 'contenido', 'claro', 'servicios', 'servicios', 'claro', 'contenido', 'claro', 'claro', 'contenido', 'claro', 'financiacion', 'medios', 'claro', 'financiacion', 'financiacion', 'cuotas', 'claro', 'contenido', 'claro', 'financiacion', 'cuotas', 'claro', 'contenido', 'claro', 'financiacion', 'cuotas', 'sociales', 'servicios', 'servicios', 'incluido', 'claro', 'contenido', 'incluido', 'claro', 'contenido', 'incluido', 'cambia', 'equipo', 'financiacion', 'claro', 'claro', 'personas', 'claro', 'claro', 'claro', 'miclaro', 'destacados', 'claro', 'claro', 'claro', 'productos', 'claro', 'claro', 'claro', 'productos', 'claro', 'claro', 'claro', 'productos', 'claro', 'equipos', 'claro', 'claro', 'productos', 'claro', 'claro', 'claro', 'productos', 'claro', 'claro', 'claro', 'productos', 'claro', 'claro', 'claro', 'productos', 'claro', 'claro', 'descarga', 'entra', 'claro', 'cambia', 'equipo', 'servicios', 'contenido', 'servicios', 'servicios', 'contenido', 'servicios', 'servicios', 'contenido', 'servicios', 'servicios', 'servicios', 'claro', 'claro', 'contenido', 'servicios', 'claro', 'claro', 'clarovideo', 'claro', 'video', 'claro', 'claro', 'claro', 'contenido', 'claro', 'video', 'contenido', 'claro', 'video', 'contenido', 'claro', 'video', 'contenido', 'claro', 'video', 'contenido', 'claro', 'video', 'contenido', 'claro', 'video', 'contenido', 'claro', 'contenido', 'claro', 'contenido', 'claro', 'contenido', 'claro', 'contenido', 'claro', 'contenido', 'claro', 'contenido', 'conoce', 'contenido', 'contenido', 'contenido', 'contenido', 'carlos', 'contenido', 'claro', 'experiencia', 'contenido', 'contenido', 'claro', 'claro', 'claro', 'contenido', 'contenido', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'servicios', 'personas', 'servicios', 'servicios', 'claro', 'servicios', 'claro', 'clarostr', 'claro', 'claro', 'claro', 'claro', 'claro', 'personas', 'escribinos', 'personas', 'escribinos', 'medios', 'personas', 'medios', 'claro', 'miclaro', 'claro', 'miclaro', 'claro', 'descarga', 'aplicacion', 'miclaro', 'claro', 'proveedoresclaro', 'concursos', 'concursos', 'cobertura', 'cobertura', 'claro']"
